x,y
0.27,0
0.28,0.013366511
0.29,0.081727548
0.3,0.128619184
0.31,0.173686309
0.32,0.22092142
0.332152191,0.261917842
0.34,0.300022694
0.348923905,0.336759154
0.36,0.382233485
0.37,0.434307259
0.38,0.468014564
0.39,0.510980687
0.4,0.560754829
0.41,0.613661849
0.42,0.646712282
0.43,0.696949576
0.44,0.740211116
0.45,0.772780466
0.46,0.813023142
0.47,0.851468018
0.48,0.878795913
0.49,0.914521012
0.5,0.943141623
0.51,0.971295094
0.52,1.001373992
0.530207533,1.020969245
0.540968486,1.032152842
0.551729439,1.04333644
0.57,1.05985342
0.58,1.067333516
0.59,1.073043615
0.6,1.072610361
0.61,1.072016147
0.62,1.069383983
0.63,1.061865504
0.64,1.055818269
0.65,1.046965869
0.66,1.039068936
0.67,1.025578765
0.68,1.017349919
0.69,0.996755635
0.7,0.986169697
0.71,0.970427872
0.72,0.95019511
0.73,0.932871592
0.74,0.916736455
0.75,0.89603282
0.76,0.876553605
0.77,0.851649287
0.78,0.830428232
0.79,0.806075007
0.8,0.785139949
0.81,0.752068708
0.82,0.725035177
0.83,0.691111136
0.84,0.666091824
0.85,0.622701486
0.86,0.589694937
0.87,0.544113579
0.88,0.491615163
0.89,0.44270662
0.9,0.37701134
0.91,0.313300014
0.92,0.225885471
0.927847809,0.159326248
0.94,0.015953079
0.95,-0.084213163
0.96,-0.2165268
0.97,-0.365005801
0.981575711,-0.26104433
0.984304381,-0.164591624
0.986510377,0.02574371
0.99,0.157300087
1,0.357589542
1.01,0.454893728
1.02,0.519707811
1.033543428,0.603949227
1.050315142,0.667078598
1.07,0.707453341
1.08,0.721634437
1.09,0.732729853
1.1,0.7397978
1.11,0.741608642
1.12,0.744642503
1.13,0.741407909
1.14,0.739452845
1.15,0.738219384
1.16,0.730498637
1.17,0.723210257
1.18,0.714159514
1.19,0.702324831
1.2,0.691435841
1.21,0.68099913
1.22,0.666441617
1.23,0.652068492
1.24,0.635848628
1.25,0.616690309
1.26,0.597186779
1.27,0.582682934
1.28,0.557208755
1.29,0.535091138
1.3,0.504845399
1.31,0.482976883
1.32,0.462633793
1.33,0.450806599
1.34,0.438725977
1.35,0.426552407
1.36,0.414416591
1.37,0.407067396
1.38,0.397767023
1.39,0.389418239
1.4,0.383341918
1.41,0.376101568
1.42,0.36599105
1.43,0.360505906
1.44,0.353590691
1.45,0.343575591
1.46,0.338297183
1.47,0.332681973
1.48,0.322299799
1.49,0.311610727
1.5,0.305341575
1.51,0.294060375
1.52,0.280702944
1.53,0.269859275
1.54,0.261085925
1.55,0.248193981
1.56,0.237994649
1.57,0.232709039
1.58,0.225000312
1.59,0.215178555
1.6,0.204199473
1.61,0.19458514
1.62,0.186175096
1.63,0.182498789
1.64,0.176824462
1.65,0.167591009
1.66,0.160338565
1.67,0.154858347
1.68,0.150237587
1.69,0.143159392
1.7,0.133093827
1.71,0.127238402
1.72,0.119650836
1.73,0.117744391
1.74,0.109908629
1.75,0.100603091
