x,y
0.26,-0.003459941
0.276230294,-0.000326209
0.286806029,0.076581613
0.308690882,0.16086879
0.34,0.25290541
0.36,0.315681111
0.38,0.366284097
0.4,0.424991177
0.42,0.46495108
0.44,0.509735199
0.46,0.56003349
0.48,0.601441884
0.5,0.630708055
0.52,0.652858455
0.54,0.678952878
0.56,0.690248878
0.58,0.691229948
0.6,0.691191425
0.62,0.691197197
0.64,0.691412148
0.66,0.685463058
0.68,0.673040833
0.7,0.66586734
0.72,0.656657359
0.74,0.64054517
0.76,0.623224084
0.78,0.609200911
0.8,0.596824374
0.82,0.57224017
0.84,0.548391427
0.86,0.517887172
0.88,0.463547988
0.9,0.395130033
0.92,0.253543331
0.94,0.00365328
0.952006173,-0.290944363
0.961884853,-0.604980967
0.970854702,-1.027040606
0.98,-1.651036774
0.984048673,-1.905791159
0.994415364,-1.523477606
1,-1.266385125
1.02,-1.00109052
1.04,-0.847657685
1.06,-0.753098789
1.08,-0.683025393
1.1,-0.64020786
1.12,-0.590799988
1.14,-0.557614416
1.16,-0.528754554
1.18,-0.499427111
1.2,-0.47777186
1.22,-0.458054794
1.24,-0.43744708
1.26,-0.425545598
1.28,-0.406352062
1.3,-0.391641414
1.32,-0.369610648
1.34,-0.359277783
1.36,-0.340999458
1.38,-0.332818314
1.4,-0.318723213
1.42,-0.312639744
1.44,-0.303706098
1.46,-0.286956354
1.48,-0.274775584
1.5,-0.255029869
1.52,-0.234137121
1.54,-0.204464174
1.56,-0.182928548
1.58,-0.164341116
1.6,-0.142777462
1.62,-0.133642124
1.64,-0.119447427
1.66,-0.110579257
1.68,-0.098703039
1.7,-0.091123984
1.72,-0.077372451
1.74,-0.062221658
1.76,-0.048398538
1.78,-0.03883398
1.808671831,-0.008488828
