x,y
0.267401998,1.329731181
0.284173713,1.36079544
0.3,1.382705239
0.32,1.406308608
0.33,1.418513015
0.34,1.424639979
0.35,1.428924021
0.36,1.432446794
0.37,1.432453289
0.38,1.426402135
0.39,1.421501977
0.4,1.413141407
0.41,1.401082092
0.42,1.383641556
0.43,1.363706787
0.44,1.340063179
0.45,1.314350057
0.46,1.28354421
0.47,1.253997014
0.48,1.217126143
0.49,1.181858141
0.5,1.145444906
0.51,1.103785549
0.52,1.06396504
0.53,1.022195521
0.54,0.981191943
0.55,0.935426929
0.56,0.894638345
0.57,0.850599121
0.58,0.807894049
0.59,0.765709775
0.6,0.727586274
0.61,0.683993534
0.62,0.648221632
0.63,0.609231482
0.64,0.567854031
0.65,0.532819917
0.66,0.498153238
0.67,0.46312853
0.68,0.431465656
0.69,0.3995024
0.7,0.369968206
0.71,0.335568686
0.72,0.309471058
0.73,0.278754757
0.74,0.255919059
0.75,0.225572094
0.76,0.203762687
0.77,0.17258089
0.78,0.154005396
0.79,0.129070935
0.8,0.103472744
0.81,0.089049664
0.82,0.063136999
0.83,0.042482188
0.84,0.019797926
0.85,-0.000214304
0.86,-0.015595018
0.87,-0.031544314
0.88,-0.050000438
0.89,-0.063728645
0.9,-0.076737432
0.91,-0.073233075
0.92,-0.062502605
0.933228286,-0.043457802
0.944304381,0.001163038
0.947847809,0.040367408
0.96,0.222188255
0.97,0.441789279
0.98,0.834228315
0.986471945,1.076887232
0.993228286,1.006477676
1,0.881800944
1.01,0.818676173
1.02,0.766828804
1.03,0.709102872
1.04,0.654468883
1.05,0.61196095
1.06,0.564328723
1.07,0.521430864
1.08,0.481235115
1.09,0.445330943
1.1,0.409121057
1.11,0.377483416
1.12,0.342810732
1.13,0.313288309
1.14,0.283865155
1.15,0.256434167
1.16,0.230392956
1.17,0.202173998
1.18,0.178811738
1.19,0.150448918
1.2,0.128207777
1.21,0.106360322
1.22,0.085415902
1.23,0.065338831
1.24,0.045141014
1.25,0.029873731
1.26,0.015925129
1.27,0.002757044
1.28,-0.014252079
1.29,-0.026166071
1.3,-0.035754366
1.31,-0.030588067
1.32,-0.024524349
1.33,-0.025118446
1.34,-0.022802988
1.35,-0.019604036
1.36,-0.019611588
1.37,-0.019610915
1.38,-0.019610931
1.39,-0.019610931
1.4,-0.019610931
1.41,-0.019610938
1.42,-0.019609486
1.43,-0.019739166
1.44,-0.025550001
1.45,-0.025027118
1.46,-0.027577899
1.47,-0.030580485
1.48,-0.036546724
1.49,-0.035464905
1.5,-0.041286552
1.51,-0.043528298
1.52,-0.046897976
1.53,-0.046905299
1.54,-0.046898593
1.55,-0.047447099
1.56,-0.041553935
1.57,-0.04143778
1.58,-0.041418569
1.59,-0.03595192
1.6,-0.036405851
1.61,-0.030670045
1.62,-0.030567758
1.63,-0.025597899
1.64,-0.025072957
1.65,-0.025001788
1.66,-0.01902279
1.67,-0.019620528
1.68,-0.019610767
1.69,-0.019612198
1.7,-0.01969303
1.71,-0.015441612
