x,y
0.259773829,0.014256619
0.28,0.00042354
0.3,0.000423538
0.32,0.000416047
0.34,0.007861926
0.36,0.005784464
0.38,0.014620344
0.4,0.025121387
0.42,0.036303229
0.44,0.047181503
0.46,0.056771844
0.48,0.064089887
0.5,0.068908963
0.52,0.079986264
0.54,0.092122594
0.56,0.097034339
0.58,0.108595842
0.6,0.128446964
0.62,0.148519192
0.64,0.165298386
0.66,0.181783358
0.68,0.204206156
0.7,0.225060188
0.72,0.23457824
0.74,0.269261161
0.76,0.308893659
0.78,0.344475063
0.8,0.39118218
0.82,0.464567236
0.84,0.53875363
0.86,0.647909115
0.88,0.789373882
0.9,0.996495382
0.92,1.315473956
0.937738288,1.844973624
0.955476575,2.621973216
0.966558966,3.272912424
0.98,4.115892996
0.985783522,4.250509165
0.990306947,3.873727088
0.992568659,3.262729124
1,2.530056671
1.02,1.933779971
1.04,1.652748993
1.06,1.449845175
1.08,1.30478971
1.1,1.201873163
1.12,1.117368126
1.14,1.050268708
1.16,0.984554966
1.18,0.934010514
1.2,0.888772746
1.22,0.848415783
1.24,0.805117879
1.26,0.77425855
1.28,0.742078918
1.3,0.711185393
1.32,0.676143171
1.34,0.646188413
1.36,0.626382211
1.38,0.596175411
1.4,0.571997471
1.42,0.548233427
1.44,0.528650075
1.46,0.51977074
1.48,0.493189618
1.5,0.478520201
1.52,0.448536055
1.54,0.432696477
1.56,0.403879355
1.58,0.388552311
1.6,0.364532259
1.62,0.343141266
1.64,0.325519175
1.66,0.306820559
1.68,0.289197029
1.7,0.278661827
1.72,0.271797702
1.74,0.260734714
1.76,0.255702332
1.78,0.242423755
1.8180937,0.217922607
1.852019386,0.16700611
1.868982229,0.105906314
1.874636511,0.024439919
