x,y
0.26931456,0.266144169
0.300102794,0.269119512
0.340311839,0.258771655
0.38,0.227329389
0.411518162,0.192088798
0.44,0.136315713
0.472460588,0.063609767
0.5,-0.00999762
0.532460588,-0.100079697
0.554345441,-0.16775673
0.58,-0.244392701
0.6,-0.3041886
0.62,-0.3566914
0.66,-0.466954378
0.68,-0.521506765
0.7,-0.573254177
0.72,-0.633390027
0.74,-0.683043031
0.76,-0.743573204
0.78,-0.80409391
0.8,-0.875486554
0.82,-0.951750503
0.84,-1.040195673
0.86,-1.144891229
0.88,-1.270015647
0.9,-1.43846519
0.92,-1.644874655
0.932152205,-1.782741674
0.94,-1.912049349
0.954345441,-2.055696594
0.969732648,-2.158033656
0.976223384,-2.026724011
0.978735369,-1.823311959
0.98,-1.632936319
0.985966397,-1.134746918
0.992457133,-0.761182505
1,-0.634748943
1.02,-0.495753439
1.04,-0.423720084
1.06,-0.374170366
1.08,-0.337789258
1.12,-0.278914849
1.14,-0.25259385
1.16,-0.232331302
1.2,-0.199199835
1.22,-0.189302256
1.24,-0.17681846
1.28,-0.145009941
1.3,-0.129567291
1.32,-0.113915035
1.36,-0.100757935
1.38,-0.090381436
1.42,-0.067554994
1.44,-0.056145379
1.46,-0.037844256
1.48,-0.020575007
1.5,-0.00947088
1.52,-0.003450763
1.54,-0.003442929
1.56,-0.003442928
1.58,-0.003449039
1.6,-0.008718865
1.62,-0.008858931
1.64,-0.003327195
1.66,-0.014364787
1.68,-0.014297476
1.7,-0.014281531
1.72,-0.003307122
1.74,-0.006228014
1.76,-0.008869872
1.78,-0.008881554
