x,y
0.268756058,1.060158358
0.32,1.085236952
0.36,1.101819871
0.4,1.129063252
0.44,1.15605924
0.48,1.189698724
0.5,1.209669801
0.54,1.243863951
0.56,1.259914774
0.58,1.275573859
0.62,1.323317458
0.64,1.354484469
0.66,1.37429402
0.68,1.404544035
0.7,1.439123275
0.72,1.485810678
0.76,1.567737898
0.78,1.629158387
0.8,1.702157326
0.82,1.774971287
0.84,1.865047792
0.86,1.970917082
0.88,2.093058977
0.9,2.235851408
0.909660743,2.331663686
0.924781906,2.445487233
0.935024233,2.502773263
0.94355412,2.538172934
0.957867528,2.489027578
0.96187399,2.420074418
0.96904685,2.14630123
0.977318255,1.465156722
0.98,1.026645015
0.986720517,0.325317674
0.988691438,-0.521827173
0.997576737,-0.420771081
1.00726979,-0.325365992
1.02,-0.263197151
1.04,-0.203731856
1.06,-0.155366398
1.08,-0.127648771
1.12,-0.078240562
1.14,-0.063219397
1.16,-0.063409856
1.18,-0.046253796
1.22,-0.056783104
1.24,-0.054253826
1.26,-0.051843745
1.28,-0.049720488
1.3,-0.048051681
1.32,-0.047646404
1.34,-0.044787527
1.36,-0.038730614
1.38,-0.033174945
1.4,-0.030260584
1.42,-0.036093036
1.44,-0.037006984
1.46,-0.040153039
1.48,-0.044171917
1.5,-0.051846507
1.52,-0.053300395
1.54,-0.064193117
1.56,-0.059217652
1.58,-0.049321957
1.6,-0.047993837
1.62,-0.047912164
1.64,-0.034431307
1.66,-0.031858138
1.68,-0.030677607
1.7,-0.018429083
1.72,-0.015721765
1.76,-0.015719155
1.78,-0.015719155
1.876833603,-0.015719166
