x1,x2,x3,x4,x5,x6,x7,x8,x9
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-0.026833496094447185,1,1,1,1,1,1,1,1
-0.07396728515729478,1,1,1,1,1,1,1,1
-0.14130126953215694,1,1,1,1,1,1,1,1
-0.23556884765696395,1,1,1,1,1,1,1,1
-0.3500366210946737,1,1,1,1,1,1,1,1
-0.4981713867202586,1,1,1,1,1,1,1,1
-0.6665063476578581,1,1,1,1,1,1,1,1
-0.8685083007824446,-0.03356689453237749,1,1,1,1,1,1,1
-1.0907104492199338,-0.08070068359433691,1,1,1,1,1,1,1
-1.3533129882832284,-0.15476806640712937,1,1,1,1,1,1,1
-1.6428491210946916,-0.2557690429698667,1,1,1,1,1,1,1
-1.959318847657876,-0.38370361328254887,1,1,1,1,1,1,1
-2.3161889648450895,-0.5385717773451759,1,1,1,1,1,1,1
-2.706726074220178,-0.72710693359479,1,1,1,1,1,1,1
-3.130930175783142,-0.9358422851581949,-0.02010009765651688,1,1,1,1,1,1
-3.588801269533093,-1.1849780273447408,-0.06050048828232235,1,1,1,1,1,1
-4.093806152345003,-1.4610473632830079,-0.1278344726571845,1,1,1,1,1,1
-4.625744628907746,-1.770783691408262,-0.22210205078199152,1,1,1,1,1,1
-5.204816894533337,-2.114187011719615,-0.3500366210946737,1,1,1,1,1,1
-5.824289550782957,-2.491257324219731,-0.4981713867202586,1,1,1,1,1,1
-6.484162597657495,-2.9019946289077225,-0.6799731445328305,1,1,1,1,1,1
-7.1911694335948795,-3.3598657226576734,-0.8954418945332776,1,1,1,1,1,1
-7.945310058595112,-3.844670410157569,-1.1445776367198235,-0.02010009765651688,1,1,1,1,1
-8.739851074220262,-4.376608886720312,-1.4206469726580906,-0.06723388671936448,1,1,1,1,1
-9.58152587890826,-4.948947753907973,-1.7371166992194986,-0.14130126953215694,1,1,1,1,1
