x1,x2,x3,x4,x5,x6,x7,x8,x9
-9.123654785158308,1,1,1,1,1,1,1,1
-8.820651855470096,1,1,1,1,1,1,1,1
-8.490715332032828,1,1,1,1,1,1,1,1
-8.187712402344616,1,1,1,1,1,1,1,1
-7.891442871095222,-12.934758300782612,1,1,1,1,1,1,1
-7.608640136719913,-12.800090332032887,1,1,1,1,1,1,1
-7.312370605469631,-12.524020996095508,1,1,1,1,1,1,1
-7.016101074220238,-11.85741455078304,1,1,1,1,1,1,1
-6.753498535157831,-11.709279785158344,1,1,1,1,1,1,1
-6.484162597657495,-11.318742675783255,1,1,1,1,1,1,1
-6.214826660158046,-10.921472167970236,1,1,1,1,1,1,1
-5.945490722657709,-10.578068847657995,1,1,1,1,1,1,1
-5.682888183595303,-9.91819580078257,1,1,1,1,1,1,1
-5.427019042969938,-9.884528808594695,1,1,1,1,1,1,1
-5.171149902344574,-9.601726074220274,1,1,1,1,1,1,1
-4.915280761720098,-9.285256347657977,1,1,1,1,1,1,1
-4.666145019532664,-8.968786621094793,1,1,1,1,1,1,1
-4.42374267578316,-8.618649902344622,1,1,1,1,1,1,1
-4.181340332032768,-8.288713378908241,1,1,1,1,1,1,1
-3.9456713867203064,-7.99244384765796,1,1,1,1,1,1,1
-3.7100024414078447,-7.689440917969748,1,1,1,1,1,1,1
-3.4810668945333134,-7.393171386720354,1,1,1,1,1,1,1
-3.258864746094936,-7.0834350585951,1,1,1,1,1,1,1
-3.036662597657447,-6.793898925782749,-12.934758300782612,1,1,1,1,1,1
-2.821193847657888,-6.504362792970397,-12.81355712890786,1,1,1,1,1,1
-2.612458496095371,-6.221560058595088,-12.550954589845453,1,1,1,1,1,1
-2.4104565429698965,-5.938757324219779,-12.19408447265824,1,1,1,1,1,1
-2.20845458984531,-5.655954589845358,-11.749680175783261,1,1,1,1,1,1
-2.019919433594808,-5.379885253907979,-11.365876464845215,1,1,1,1,1,1
-1.8313842773451938,-5.103815917969712,-11.042673339844988,1,1,1,1,1,1
-1.656315917969664,-4.8412133789081935,-10.699270019532747,1,1,1,1,1,1
-1.4812475585950224,-4.571877441407857,-10.261599121094811,1,1,1,1,1,1
-1.3196459960953533,-4.316008300782492,-9.897995605469667,1,1,1,1,1,1
-1.1647778320327262,-4.060139160158016,-9.621926269533176,1,1,1,1,1,1
-1.0166430664080295,-3.811003417969694,-9.29198974609502,1,1,1,1,1,1
-0.8752416992194867,-3.561867675783148,-8.962053222657751,1,1,1,1,1,1
-0.7473071289076927,-3.326198730469798,-8.591716308594677,1,1,1,1,1,1
-0.6193725585950105,-3.0905297851582247,-8.241579589845394,1,1,1,1,1,1
-0.511638183595231,-2.8615942382828052,-7.918376464845167,1,1,1,1,1,1
-0.41063720703249373,-2.639392089845316,-7.608640136719913,1,1,1,1,1,1
-0.3163696289076867,-2.4306567382827993,-7.2854370117196865,1,1,1,1,1,1
-0.23556884765696395,-2.2219213867202825,-6.955500488283306,1,1,1,1,1,1
-0.1682348632821018,-2.019919433594808,-6.652497558595094,1,1,1,1,1,1
-0.10763427734428177,-1.8246508789081517,-6.3292944335948675,1,1,1,1,1,1
-0.06050048828232235,-1.6428491210946916,-6.026291503907544,1,1,1,1,1,1
-0.026833496094447185,-1.4610473632830079,-5.72328857422022,1,1,1,1,1,1
1,-1.2927124023445202,-5.427019042969938,1,1,1,1,1,1
1,-1.131110839844851,-5.130749511719657,-13.204094238282948,1,1,1,1,1
1,-0.9829760742201543,-4.8412133789081935,-12.847224121094847,1,1,1,1,1
1,-0.8415747070324997,-4.565144042969926,-12.577888183595398,1,1,1,1,1
1,-0.7069067382827754,-4.2890747070325475,-12.200817871095282,1,1,1,1,1
1,-0.5857055664080235,-4.0130053710951685,-11.742946777345331,1,1,1,1,1
1,-0.47123779297031376,-3.750402832032762,-11.3456762695332,1,1,1,1,1
1,-0.37023681640757644,-3.494533691408286,-11.002272949220071,1,1,1,1,1
1,-0.28270263671981155,-3.2386645507829215,-10.571335449220065,1,1,1,1,1
1,-0.2086352539070191,-2.9962622070325295,-9.91819580078257,1,1,1,1,1
1,-0.14130126953215694,-2.760593261720068,-9.830661621094805,1,1,1,1,1
1,-0.08743408203226721,-2.5316577148446484,-9.426657714844744,1,1,1,1,1
1,-0.04703369140734992,-2.3094555664080474,-9.06978759765753,1,1,1,1,1
1,-0.02010009765651688,-2.0939868164076003,-8.67925048828333,1,1,1,1,1
1,1,-1.8919848632830139,-8.302180175783214,1,1,1,1,1
1,1,-1.6967163085945813,-7.985710449220029,1,1,1,1,1
1,1,-1.5081811523449673,-7.635573730469858,1,1,1,1,1
1,1,-1.3331127929703257,-7.292170410157617,1,1,1,1,1
1,1,-1.1647778320327262,-6.942033691408334,1,1,1,1,1
1,1,-1.003176269533057,-6.605363769533135,1,1,1,1,1
1,1,-0.8550415039074721,-6.268693847657936,1,1,1,1,1
1,1,-0.7203735351577478,-5.945490722657709,1,1,1,1,1
1,1,-0.5924389648450656,-5.622287597657483,1,1,1,1,1
1,1,-0.47797119140824407,-5.305817871095186,1,1,1,1,1
1,1,-0.37697021484461857,-4.996081542969932,1,1,1,1,1
1,1,-0.28270263671981155,-4.693078613282609,1,1,1,1,1
1,1,-0.2019018554690888,-4.396809082033215,1,1,1,1,1
1,1,-0.13456787109422663,-4.114006347657906,1,1,1,1,1
1,1,-0.08070068359433691,-3.8312036132825966,1,1,1,1,1
1,1,-0.040300292969419615,-3.5551342773452177,1,1,1,1,1
1,1,-0.013366699218586575,-3.292531738282811,1,1,1,1,1
1,1,1,-3.0299291992195165,-13.224294433594963,1,1,1,1
