x1,x2,x3,x4,x5,x6,x7,x8,x9
-5.689621582033233,-7.332570800782534,-10.0932641601581,-12.975158691408417,1,1,1,1,1
-5.4606860351578135,-7.332570800782534,-9.891262207032625,-12.941491699219654,1,1,1,1,1
-5.231750488283282,-7.258503417969742,-9.830661621094805,-12.625021972658246,1,1,1,1,1
-4.996081542969932,-6.989167480470293,-8.625383300782552,-12.598088378908301,1,1,1,1,1
-4.746945800782498,-6.746765136719901,-8.625383300782552,-10.995539550783029,1,1,1,1,1
-4.497810058595064,-6.490895996095425,-8.625383300782552,-10.995539550783029,1,1,1,1,1
-4.2419409179697,-6.221560058595088,-8.517648925782773,-10.988806152345099,1,1,1,1,1
-3.9793383789081815,-5.945490722657709,-8.295446777345283,-10.982072753908056,1,1,1,1,1
-3.716735839844887,-5.662687988283288,-8.201179199219588,-10.88107177734532,1,1,1,1,1
-3.4541333007824804,-5.373151855470049,-8.201179199219588,-10.584802246095038,-13.365695800782618,1,1,1,1
-3.191530761720074,-5.076882324219767,-7.325837402344604,-10.362600097657548,-13.244494628907866,1,1,1,1
-2.9289282226576674,-4.773879394533331,-7.103635253908003,-9.904729003907597,-13.204094238282948,1,1,1,1
-2.666325683595261,-4.470876464845119,-6.766965332032804,-9.823928222657763,-12.975158691408417,1,1,1,1
-2.4037231445328544,-4.167873535157796,-6.450495605469619,-8.625383300782552,-12.631755371095288,1,1,1,1
-2.154587402344532,-3.8581372070325415,-6.113825683595309,-8.625383300782552,-10.995539550783029,1,1,1,1
-1.9054516601579863,-3.5551342773452177,-5.770422363283068,-8.49744873046987,-10.995539550783029,1,1,1,1
-1.6697827148446365,-3.252131347657894,-5.420285644532896,-8.207912597657518,-10.988806152345099,1,1,1,1
-1.4408471679701051,-2.9558618164076123,-5.070148925782725,-8.201179199219588,-10.88780517578325,1,1,1,1
-1.218645019532616,-2.6595922851582188,-4.720012207032553,-7.319104003907562,-10.584802246095038,1,1,1,1
-1.0099096679700992,-2.3767895507829095,-4.36987548828327,-6.975700683595321,-10.106730957033072,-13.257961425782838,1,1,1
-0.821374511719597,-2.0939868164076003,-4.019738769533099,-6.591896972658162,-9.850861816407708,-13.217561035157921,1,1,1
-0.6463061523449554,-1.8313842773451938,-3.6763354492199696,-6.187893066408101,-8.625383300782552,-13.1569604492201,1,1,1
-0.4847045898452862,-1.5687817382827873,-3.3329321289077285,-5.797355957033012,-8.625383300782552,-12.625021972658246,1,1,1
-0.3433032226576316,-1.3263793945332836,-3.0029956054695717,-5.393352050782951,-8.45031494140791,-10.995539550783029,1,1,1
-0.22883544921903365,-1.097443847657864,-2.6797924804702333,-4.996081542969932,-8.201179199219588,-10.988806152345099,1,1,1
