x,y
0.26996,0
0.27914,0.003658468
0.28000122,0.017278266
0.28086208,0.024500609
0.28172294,0.030273117
0.2825838,0.035224679
0.28344466,0.039596776
0.28430552,0.043681136
0.28516638,0.047442427
0.28602724,0.051030279
0.2868881,0.054447015
0.28774896,0.05770394
0.28860982,0.060874483
0.28947068,0.063912403
0.29033154,0.0668442
0.2911924,0.069726193
0.29205326,0.072548346
0.29291412,0.075315516
0.29377498,0.078057623
0.29463584,0.080762298
0.2954967,0.083414598
0.29635757,0.08602627
0.29721843,0.088613029
0.29807929,0.091170934
0.29894015,0.093696005
0.29980101,0.096198104
0.30066187,0.098687477
0.30152273,0.10115969
0.30238359,0.10361032
0.30324445,0.10603869
0.30410531,0.1084588
0.30496617,0.11087007
0.30582703,0.1132697
0.30668789,0.11565486
0.30754875,0.1180265
0.30840961,0.12039222
0.30927047,0.12275217
0.31013133,0.12510611
0.31099219,0.12745379
0.31185305,0.12979524
0.31271391,0.1321317
0.31357477,0.13446359
0.31443563,0.13679123
0.31529649,0.1391149
0.31615735,0.14143489
0.31701821,0.14375287
0.31787907,0.14606975
0.31873993,0.14838503
0.31960079,0.15069816
0.32046165,0.15300861
0.32132251,0.1553159
0.32218337,0.15762375
0.32304423,0.15993387
0.32390509,0.16224534
0.32476595,0.16455726
0.32562681,0.1668687
0.32648767,0.16917875
0.32734853,0.17148885
0.32820939,0.1738019
0.32907025,0.17611734
0.32993111,0.17843456
0.33079198,0.18075297
0.33165284,0.18307197
0.3325137,0.18539112
0.33337456,0.18771305
0.33423542,0.19003848
0.33509628,0.19236699
0.33595714,0.19469813
0.336818,0.19703149
0.33767886,0.19936661
0.33853972,0.20170323
0.33940058,0.20404323
0.34026144,0.20638699
0.3411223,0.20873426
0.34198316,0.21108477
0.34284402,0.21343825
0.34370488,0.21579444
0.34456574,0.21815305
0.3454266,0.22051497
0.34628746,0.22288095
0.34714832,0.22525082
0.34800918,0.22762444
0.34887004,0.23000166
0.3497309,0.23238232
0.35059176,0.23476626
0.35145262,0.23715345
0.35231348,0.23954462
0.35317434,0.24193988
0.3540352,0.24433912
0.35489606,0.24674226
0.35575692,0.24914919
0.35661778,0.25155981
0.35747864,0.25397402
0.3583395,0.25639178
0.35920036,0.25881361
0.36006122,0.26123957
0.36092208,0.26366968
0.36178294,0.26610394
0.3626438,0.26854232
0.36350466,0.27098483
0.36436552,0.27343144
0.36522639,0.2758821
0.36608725,0.27833646
0.36694811,0.28079452
0.36780897,0.2832564
0.36866983,0.28572225
0.36953069,0.2881922
0.37039155,0.29066638
0.37125241,0.29314491
0.37211327,0.29562792
0.37297413,0.29811509
0.37383499,0.30060553
0.37469585,0.30309939
0.37555671,0.30559691
0.37641757,0.3080983
0.37727843,0.31060378
0.37813929,0.31311355
0.37900015,0.31562782
0.37986101,0.3181468
0.38072187,0.32066972
0.38158273,0.3231955
0.38244359,0.32572439
0.38330445,0.32825665
0.38416531,0.33079255
0.38502617,0.33333234
0.38588703,0.33587626
0.38674789,0.33842457
0.38760875,0.34097751
0.38846961,0.34353467
0.38933047,0.34609482
0.39019133,0.34865798
0.39105219,0.35122424
0.39191305,0.35379368
0.39277391,0.35636637
0.39363477,0.35894238
0.39449563,0.36152179
0.39535649,0.36410466
0.39621735,0.36669109
0.39707821,0.36928129
0.39793907,0.37187515
0.39879993,0.37447251
0.3996608,0.37707318
0.40052166,0.37967699
0.40138252,0.38228376
0.40224338,0.38489331
0.40310424,0.38750546
0.4039651,0.39012005
0.40482596,0.39273711
0.40568682,0.39535724
0.40654768,0.39798052
0.40740854,0.40060699
0.4082694,0.40323667
0.40913026,0.40586959
0.40999112,0.4085058
0.41085198,0.41114532
0.41171284,0.41378817
0.4125737,0.41643438
0.41343456,0.41908316
0.41429542,0.42173289
0.41515628,0.42438385
0.41601714,0.42703643
0.416878,0.42969101
0.41773886,0.43234798
0.41859972,0.43500769
0.41946058,0.43767052
0.42032144,0.44033683
0.4211823,0.44300698
0.42204316,0.44568053
0.42290402,0.44835435
0.42376488,0.45102845
0.42462574,0.45370327
