x1,x2,x3,x4,x5,x6,x7,x8,x9
-8.201179199219588,-10.982072753908056,1,1,1,1,1,1,1
-8.066511230469864,-10.968605957033084,1,1,1,1,1,1,1
-7.952043457033042,-10.88780517578325,1,1,1,1,1,1,1
-7.851042480470305,-10.867604980470347,1,1,1,1,1,1,1
-7.729841308594665,-10.672336425782802,1,1,1,1,1,1,1
-7.595173339844941,-10.631936035157885,1,1,1,1,1,1,1
-7.460505371095216,-10.584802246095038,1,1,1,1,1,1,1
-7.312370605469631,-10.463601074220286,1,1,1,1,1,1,1
-7.14403564453292,-10.369333496095479,1,1,1,1,1,1,1
-7.0026342773452654,-10.281799316407714,1,1,1,1,1,1,1
-6.841032714844708,-10.106730957033072,1,1,1,1,1,1,1
-6.659230957033024,-10.012463378908265,1,1,1,1,1,1,1
-6.504362792970397,-9.844128417969777,1,1,1,1,1,1,1
-6.322561035157825,-9.709460449220053,1,1,1,1,1,1,1
-6.1407592773452535,-9.547858886720384,1,1,1,1,1,1,1
-5.952224121094751,-9.332390136719937,-13.789899902344693,1,1,1,1,1,1
-5.756955566408095,-9.143854980470323,-13.729299316407761,1,1,1,1,1,1
-5.561687011719663,-8.995720214844738,-13.695632324219886,1,1,1,1,1,1
-5.359685058595076,-8.793718261720151,-13.358962402344687,1,1,1,1,1,1
-5.1576831054696015,-8.571516113282662,-13.217561035157921,1,1,1,1,1,1
-4.955681152345015,-8.403181152345063,-13.029025878908307,1,1,1,1,1,1
-4.746945800782498,-8.207912597657518,-12.941491699219654,1,1,1,1,1,1
-4.5382104492199815,-7.952043457033042,-12.69908935547015,1,1,1,1,1,1
-4.329475097657465,-7.770241699219582,-12.59135498047037,1,1,1,1,1,1
-4.120739746094948,-7.541306152345051,-12.362419433594951,1,1,1,1,1,1
-3.905270996095389,-7.312370605469631,-12.322019042970034,1,1,1,1,1,1
-3.6965356445328723,-7.076701660158058,-11.823747558595166,1,1,1,1,1,1
-3.4878002929703555,-6.881433105469625,-11.702546386720414,1,1,1,1,1,1
-3.2790649414078388,-6.625563964845149,-11.473610839844994,1,1,1,1,1,1
-3.070329589845322,-6.389895019532688,-10.995539550783029,1,1,1,1,1,1
-2.8683276367198474,-6.147492675783184,-10.982072753908056,1,1,1,1,1,1
-2.666325683595261,-5.905090332032792,-10.672336425782802,1,1,1,1,1,1
-2.4643237304697863,-5.66942138672033,-10.483801269533188,1,1,1,1,1,1
