sqrt_s,ReOmega_11,ImOmega_11,ReOmega_12,ImOmega_12,ReOmega_21,ImOmega_21,ReOmega_22,ImOmega_22
1.471080,-0.287248,0.881491,-0.093963,-0.507171,0.046883,-0.769982,-0.471707,1.291550
1.472760,-0.288910,0.879358,-0.092231,-0.506555,0.049132,-0.768350,-0.474109,1.288350
1.474880,-0.290992,0.876665,-0.090052,-0.505768,0.051949,-0.766283,-0.477112,1.284300
1.477150,-0.293205,0.873773,-0.087725,-0.504913,0.054944,-0.764057,-0.480298,1.279960
1.479280,-0.295251,0.871075,-0.085564,-0.504106,0.057715,-0.761971,-0.483237,1.275900
1.480960,-0.296860,0.868935,-0.083858,-0.503458,0.059894,-0.760313,-0.485544,1.272680
1.481970,-0.297826,0.867643,-0.082830,-0.503065,0.061203,-0.759309,-0.486927,1.270730
1.482460,-0.298294,0.867015,-0.082332,-0.502873,0.061836,-0.758821,-0.487595,1.269780
1.483480,-0.299253,0.865722,-0.081308,-0.502476,0.063137,-0.757815,-0.488968,1.267830
1.485160,-0.300835,0.863579,-0.079615,-0.501813,0.065282,-0.756143,-0.491227,1.264600
1.487280,-0.302815,0.860873,-0.077487,-0.500968,0.067968,-0.754026,-0.494049,1.260520
1.489560,-0.304920,0.857969,-0.075215,-0.500050,0.070824,-0.751748,-0.497043,1.256130
1.491680,-0.306864,0.855259,-0.073106,-0.499185,0.073465,-0.749616,-0.499803,1.252040
1.493360,-0.308392,0.853110,-0.071440,-0.498493,0.075542,-0.747920,-0.501969,1.248790
1.494370,-0.309309,0.851813,-0.070438,-0.498072,0.076788,-0.746895,-0.503267,1.246830
1.494870,-0.309753,0.851183,-0.069953,-0.497867,0.077392,-0.746397,-0.503894,1.245880
1.495880,-0.310664,0.849886,-0.068954,-0.497443,0.078631,-0.745369,-0.505182,1.243920
1.497560,-0.312165,0.847734,-0.067304,-0.496736,0.080674,-0.743663,-0.507301,1.240660
1.499690,-0.314044,0.845019,-0.065230,-0.495835,0.083232,-0.741504,-0.509948,1.236550
1.501960,-0.316039,0.842106,-0.063017,-0.494860,0.085951,-0.739182,-0.512754,1.232140
1.504080,-0.317881,0.839388,-0.060963,-0.493940,0.088464,-0.737010,-0.515340,1.228020
1.505760,-0.319329,0.837234,-0.059343,-0.493206,0.090440,-0.735284,-0.517369,1.224750
1.506780,-0.320198,0.835933,-0.058368,-0.492759,0.091626,-0.734241,-0.518584,1.222780
1.507270,-0.320618,0.835302,-0.057896,-0.492542,0.092201,-0.733734,-0.519172,1.221820
1.508290,-0.321481,0.834001,-0.056924,-0.492093,0.093379,-0.732689,-0.520377,1.219850
1.509970,-0.322902,0.831845,-0.055319,-0.491344,0.095322,-0.730954,-0.522360,1.216580
1.512090,-0.324679,0.829124,-0.053303,-0.490392,0.097754,-0.728759,-0.524836,1.212450
1.514360,-0.326565,0.826205,-0.051153,-0.489361,0.100339,-0.726400,-0.527460,1.208020
1.516480,-0.328307,0.823483,-0.049158,-0.488392,0.102727,-0.724195,-0.529876,1.203890
1.518170,-0.329675,0.821325,-0.047584,-0.487617,0.104605,-0.722444,-0.531771,1.200620
1.519180,-0.330495,0.820023,-0.046638,-0.487147,0.105732,-0.721386,-0.532906,1.198640
1.519670,-0.330892,0.819391,-0.046179,-0.486919,0.106277,-0.720872,-0.533455,1.197680
1.520690,-0.331706,0.818088,-0.045236,-0.486446,0.107397,-0.719812,-0.534580,1.195700
1.522370,-0.333047,0.815930,-0.043679,-0.485659,0.109242,-0.718053,-0.536430,1.192420
1.524490,-0.334724,0.813207,-0.041724,-0.484658,0.111551,-0.715830,-0.538740,1.188290
1.526770,-0.336503,0.810286,-0.039639,-0.483577,0.114004,-0.713441,-0.541186,1.183850
1.528890,-0.338144,0.807563,-0.037706,-0.482560,0.116270,-0.711210,-0.543438,1.179710
1.530570,-0.339433,0.805405,-0.036181,-0.481749,0.118052,-0.709438,-0.545203,1.176430
1.531580,-0.340205,0.804103,-0.035264,-0.481258,0.119120,-0.708368,-0.546260,1.174450
1.532080,-0.340579,0.803471,-0.034820,-0.481018,0.119638,-0.707848,-0.546770,1.173490
1.533090,-0.341346,0.802168,-0.033907,-0.480524,0.120699,-0.706776,-0.547818,1.171510
1.534770,-0.342608,0.800011,-0.032399,-0.479701,0.122449,-0.704999,-0.549540,1.168240
1.536890,-0.344185,0.797289,-0.030506,-0.478656,0.124637,-0.702753,-0.551688,1.164100
1.539170,-0.345858,0.794370,-0.028489,-0.477528,0.126962,-0.700340,-0.553961,1.159660
1.541290,-0.347400,0.791650,-0.026619,-0.476468,0.129109,-0.698088,-0.556053,1.155530
1.542970,-0.348611,0.789494,-0.025145,-0.475624,0.130796,-0.696300,-0.557692,1.152250
1.543990,-0.349336,0.788193,-0.024259,-0.475112,0.131808,-0.695221,-0.558673,1.150280
1.544480,-0.349687,0.787562,-0.023829,-0.474863,0.132298,-0.694697,-0.559147,1.149320
1.545490,-0.350407,0.786262,-0.022947,-0.474349,0.133303,-0.693616,-0.560119,1.147340
1.547180,-0.351591,0.784107,-0.021490,-0.473493,0.134959,-0.691824,-0.561716,1.144070
1.549300,-0.353070,0.781390,-0.019662,-0.472408,0.137030,-0.689561,-0.563707,1.139940
