sqrt_s	ReOmega_11	ImOmega_11	ReOmega_12	ImOmega_12	ReOmega_21	ImOmega_21	ReOmega_22	ImOmega_22
0.908214	-0.0903462	0.540362	-0.180586	1.08009	-1.87199	0.621575	3.1777	1.24242
0.911811	-0.0945164	0.513126	-0.205558	1.11597	-1.92759	0.605155	3.24108	1.31612
0.913904	-0.0965921	0.496345	-0.221427	1.13782	-1.96156	0.594318	3.27909	1.36241
0.9175	-0.0994967	0.466063	-0.251246	1.17689	-2.02304	0.573515	3.34651	1.44822
0.921096	-0.101352	0.433555	-0.284772	1.21817	-2.08852	0.549223	3.41593	1.54316
0.923189	-0.101829	0.413415	-0.306221	1.24323	-2.12863	0.533087	3.45736	1.60311
0.926786	-0.101498	0.376908	-0.346883	1.28813	-2.20148	0.501872	3.5304	1.71521
0.930382	-0.0993291	0.337453	-0.393068	1.33538	-2.27923	0.465048	3.6045	1.8403
0.932475	-0.0970059	0.312891	-0.422888	1.36402	-2.32691	0.440417	3.64812	1.91996
0.936071	-0.0909557	0.268173	-0.479909	1.41496	-2.41373	0.392312	3.72392	2.06995
0.939668	-0.0815821	0.219571	-0.545525	1.46823	-2.5062	0.334889	3.7979	2.23934
0.941761	-0.074214	0.189243	-0.588111	1.49966	-2.5628	0.296206	3.84022	2.34729
0.945357	-0.0577144	0.133847	-0.670791	1.55565	-2.66576	0.219738	3.91004	2.55392
0.948953	-0.0349869	0.073537	-0.766892	1.61189	-2.77401	0.127219	3.97105	2.78856
0.950084	-0.0263064	0.0535606	-0.800366	1.62957	-2.80982	0.0943017	3.98919	2.86911
0.950372	-0.0239591	0.0483836	-0.809159	1.63404	-2.81878	0.085577	3.99308	2.89015
0.95066	-0.0215559	0.0431741	-0.818067	1.6385	-2.82788	0.0767157	3.99709	2.91144
0.950828	-0.020131	0.0401272	-0.823304	1.64109	-2.83319	0.0714945	3.99941	2.92393
0.951116	-0.0176368	0.0348658	-0.832394	1.64554	-2.84237	0.062411	4.00332	2.94558
0.951404	-0.0150834	0.0295712	-0.841602	1.64998	-2.85157	0.0531836	4.00713	2.96746
0.951572	-0.0135696	0.0264746	-0.847015	1.65255	-2.85694	0.0477459	4.00931	2.98031
0.95186	-0.0109199	0.0211277	-0.856411	1.65696	-2.8662	0.0382853	4.01296	3.00257
0.952148	-0.00820787	0.0157475	-0.865929	1.66136	-2.87549	0.0286738	4.01651	3.02508
0.952316	-0.00660021	0.0126011	-0.871525	1.66391	-2.88091	0.0230095	4.01852	3.03829
0.952604	-0.00378665	0.00716855	-0.881239	1.66828	-2.89024	0.0131538	4.02188	3.06119
0.952892	-0.000907208	0.00170291	-0.891079	1.67263	-2.8996	0.00314016	4.02512	3.08433
0.95306	0.000799465	-0.00149323	-0.896865	1.67515	-2.90506	-0.00276148	4.02695	3.09792
0.953348	0.00378598	-0.00701112	-0.906909	1.67947	-2.91446	-0.0130309	4.02999	3.12146
0.953636	0.00684202	-0.0125619	-0.917085	1.68376	-2.92388	-0.0234656	4.0329	3.14527
0.953804	0.00865316	-0.0158075	-0.923068	1.68625	-2.92938	-0.0296158	4.03453	3.15924
0.954092	0.0118222	-0.0214102	-0.933455	1.6905	-2.93884	-0.0403184	4.03722	3.18345
0.95438	0.0150646	-0.0270455	-0.943979	1.69473	-2.94832	-0.0511941	4.03976	3.20794
0.954548	0.016986	-0.03034	-0.950167	1.69717	-2.95385	-0.0576045	4.04117	3.22231
0.954836	0.0203476	-0.0360266	-0.960911	1.70135	-2.96336	-0.0687607	4.04347	3.24721
0.955124	0.0237866	-0.0417453	-0.971797	1.7055	-2.97289	-0.0800982	4.04561	3.2724
0.955292	0.0258244	-0.0450882	-0.978198	1.70789	-2.97844	-0.0867812	4.04678	3.28718
0.95558	0.0293893	-0.0508575	-0.989312	1.71198	-2.98799	-0.0984125	4.04866	3.3128
0.955868	0.0330359	-0.0566582	-1.00057	1.71603	-2.99756	-0.110234	4.05037	3.33869
0.956036	0.0351965	-0.0600486	-1.0072	1.71837	-3.00313	-0.117202	4.05128	3.3539
0.956324	0.038976	-0.0658987	-1.01869	1.72236	-3.01271	-0.129331	4.0527	3.38025
0.956612	0.0428417	-0.0717797	-1.03035	1.72631	-3.02231	-0.141658	4.05393	3.40689
0.95678	0.0451319	-0.0752162	-1.0372	1.72858	-3.02789	-0.148925	4.05456	3.42252
0.957068	0.0491379	-0.0811452	-1.0491	1.73245	-3.03749	-0.161575	4.05547	3.44963
0.957356	0.053235	-0.0871039	-1.06115	1.73627	-3.0471	-0.174432	4.05618	3.47702
0.957524	0.0556621	-0.0905853	-1.06824	1.73847	-3.05269	-0.182013	4.0565	3.49311
0.957812	0.0599073	-0.0965903	-1.08056	1.74221	-3.06229	-0.195207	4.05687	3.52098
0.9581	0.0642486	-0.102624	-1.09303	1.74589	-3.07189	-0.20862	4.05702	3.54916
0.958268	0.0668202	-0.106148	-1.10037	1.74801	-3.07748	-0.216528	4.057	3.5657
0.958556	0.0713179	-0.112226	-1.11311	1.75159	-3.08707	-0.230294	4.05677	3.59437
0.958844	0.075917	-0.118331	-1.12602	1.75512	-3.09665	-0.244287	4.0563	3.62334
0.959012	0.0786412	-0.121896	-1.13362	1.75714	-3.10223	-0.252538	4.05592	3.64035
0.9593	0.0834055	-0.128042	-1.14681	1.76055	-3.11179	-0.266901	4.05504	3.66983
0.959588	0.0882769	-0.134214	-1.16017	1.76389	-3.12133	-0.281503	4.05391	3.69962
0.959756	0.0911622	-0.137817	-1.16803	1.7658	-3.12688	-0.290112	4.05312	3.71711
0.960044	0.0962079	-0.144027	-1.18168	1.76902	-3.13639	-0.305101	4.05155	3.74742
0.960332	0.101367	-0.150261	-1.19551	1.77216	-3.14588	-0.320339	4.04968	3.77805
0.9605	0.104422	-0.153899	-1.20365	1.77395	-3.15139	-0.329324	4.04846	3.79603
0.960788	0.109765	-0.160167	-1.21777	1.77695	-3.16083	-0.344966	4.04612	3.82719
0.961076	0.115227	-0.166456	-1.23209	1.77986	-3.17023	-0.36087	4.04347	3.85867
0.961244	0.118462	-0.170125	-1.24051	1.78152	-3.17569	-0.370247	4.04178	3.87715
0.961532	0.124118	-0.176445	-1.25513	1.78428	-3.18503	-0.386574	4.03861	3.90917
0.96182	0.129901	-0.182783	-1.26995	1.78693	-3.19432	-0.403173	4.03509	3.94153
0.961988	0.133325	-0.186479	-1.27866	1.78843	-3.19971	-0.412961	4.03289	3.96051
0.962276	0.139313	-0.192842	-1.29379	1.79092	-3.20893	-0.430002	4.02882	3.99341
0.962564	0.145433	-0.19922	-1.30913	1.79329	-3.21809	-0.447329	4.02438	4.02665
0.962732	0.149058	-0.202937	-1.31814	1.79461	-3.22339	-0.457545	4.02162	4.04616
0.96302	0.155394	-0.209335	-1.3338	1.7968	-3.23245	-0.475333	4.01657	4.07995
0.963308	0.161871	-0.215744	-1.34967	1.79885	-3.24144	-0.493419	4.01112	4.11409
0.963476	0.165707	-0.219477	-1.359	1.79999	-3.24663	-0.504083	4.00776	4.13411
0.963764	0.172412	-0.225899	-1.37521	1.80183	-3.2555	-0.522651	4.00165	4.16881
0.964052	0.179265	-0.232327	-1.39162	1.80354	-3.26428	-0.541529	3.9951	4.20385
0.96422	0.183323	-0.236069	-1.40128	1.80446	-3.26935	-0.55266	3.99109	4.22441
0.964508	0.190417	-0.242503	-1.41804	1.80593	-3.27799	-0.572041	3.98383	4.26001
0.964796	0.197667	-0.248937	-1.43502	1.80724	-3.28652	-0.591745	3.97609	4.29597
0.964964	0.201959	-0.252681	-1.44501	1.80793	-3.29144	-0.603364	3.97137	4.31706
0.965252	0.209462	-0.259112	-1.46235	1.80898	-3.2998	-0.623592	3.96287	4.35358
0.96554	0.21713	-0.265539	-1.47991	1.80986	-3.30804	-0.644158	3.95385	4.39045
0.965708	0.221669	-0.269275	-1.49024	1.81028	-3.31278	-0.656283	3.94836	4.41207
0.965996	0.229604	-0.275688	-1.50817	1.81088	-3.32082	-0.677395	3.93851	4.44951
0.966284	0.237712	-0.28209	-1.52633	1.81127	-3.32872	-0.698856	3.9281	4.48729
0.966452	0.242512	-0.285808	-1.53701	1.81141	-3.33325	-0.711509	3.92178	4.50944
0.96674	0.250901	-0.292185	-1.55554	1.81149	-3.34091	-0.733538	3.91046	4.54779
0.967028	0.259473	-0.298543	-1.57431	1.81136	-3.34841	-0.755931	3.89855	4.58649
0.967196	0.264546	-0.302232	-1.58534	1.81118	-3.3527	-0.769133	3.89133	4.60916
0.967484	0.273414	-0.308553	-1.60449	1.8107	-3.35993	-0.792115	3.87844	4.64841
0.967772	0.282473	-0.314844	-1.62388	1.80998	-3.36697	-0.815475	3.86489	4.688
0.96794	0.287834	-0.318491	-1.63527	1.80945	-3.37098	-0.829245	3.85671	4.71119
0.968228	0.297204	-0.324731	-1.65505	1.80834	-3.37771	-0.853216	3.8421	4.75132
0.968516	0.306776	-0.330933	-1.67507	1.80697	-3.38422	-0.877577	3.82679	4.79178
0.968684	0.31244	-0.334523	-1.68683	1.80606	-3.38791	-0.891936	3.81756	4.81548
0.968972	0.322338	-0.340656	-1.70725	1.80427	-3.39406	-0.91693	3.80111	4.85647
0.96926	0.332447	-0.34674	-1.7279	1.80219	-3.39997	-0.942328	3.7839	4.89778
0.969428	0.338429	-0.350255	-1.74004	1.80085	-3.40329	-0.957295	3.77353	4.92196
0.969716	0.348881	-0.356252	-1.76109	1.7983	-3.40879	-0.983346	3.75508	4.96377
0.970004	0.359554	-0.362186	-1.7824	1.79544	-3.41401	-1.00981	3.73582	5.00589
0.970172	0.365868	-0.365608	-1.79491	1.79363	-3.41692	-1.02541	3.72423	5.03053
0.97046	0.376901	-0.371435	-1.81661	1.79026	-3.42168	-1.05255	3.70363	5.07312
0.970748	0.388165	-0.377184	-1.83855	1.78654	-3.42612	-1.08011	3.68215	5.11599
0.970916	0.394828	-0.380492	-1.85144	1.78421	-3.42856	-1.09635	3.66924	5.14106
0.971204	0.406468	-0.386109	-1.87378	1.77993	-3.43247	-1.12461	3.64632	5.18437
0.971492	0.418349	-0.391634	-1.89637	1.77527	-3.43603	-1.15331	3.62245	5.22793
0.97166	0.425376	-0.394804	-1.90963	1.77238	-3.43794	-1.17021	3.60811	5.2534
0.971948	0.43765	-0.40017	-1.93261	1.7671	-3.4409	-1.19961	3.58269	5.29735
0.972236	0.450176	-0.405425	-1.95583	1.76141	-3.44347	-1.22946	3.55624	5.34153
0.972404	0.457583	-0.408429	-1.96946	1.7579	-3.44478	-1.24704	3.54038	5.36733
0.972692	0.470519	-0.413495	-1.99307	1.75152	-3.44667	-1.27761	3.51226	5.41184
0.97298	0.483716	-0.41843	-2.01691	1.7447	-3.44812	-1.30864	3.48305	5.45654
0.973148	0.491518	-0.421239	-2.0309	1.74051	-3.44876	-1.32691	3.46553	5.48262
